Document Name,Attribute,Title,Expectations
Investor Relations All Titles,Business needs,VICE PRESIDENT,Accountable for design and/or implementation of strategy that has substantial impact on own team and/or business area.
Investor Relations All Titles,Business needs,VICE PRESIDENT,Communicates potential risks and recommendations for course correcting to senior leadership
Investor Relations All Titles,Business needs,VICE PRESIDENT,Role has moved from small to medium-scale projects/initiatives to management of large cross-functional projects and/or teams.
Investor Relations All Titles,Business needs,VICE PRESIDENT,Responsible for translating strategic vision into meaningful solutions that drive business area forward.
Investor Relations All Titles,Leadership,VICE PRESIDENT,Demonstrates self-awareness poise and self-control in all situations.
Investor Relations All Titles,Leadership,VICE PRESIDENT,Effectively balances confidence with humility when engaging with internal and external stakeholders across all levels.
Investor Relations All Titles,Leadership,VICE PRESIDENT,Manages self and team to mitigate work overload and avoid burnout by prioritizing work based on capacity.
Investor Relations All Titles,Leadership,VICE PRESIDENT,Effectively delegates important tasks to team and/or colleagues to provide them with increased responsibility visibility and growth.
Investor Relations All Titles,Leadership,VICE PRESIDENT,Provides frequent and effective coaching by balancing positive and constructive feedback.
Investor Relations All Titles,Leadership,VICE PRESIDENT,Develops and shares best practices to drive team and individual success.
Investor Relations All Titles,Leadership,VICE PRESIDENT,Seeks opportunities for fellow colleagues to gain exposure.
Investor Relations All Titles,Leadership,VICE PRESIDENT,Presents complex topics and point of view with confidence offering clear and logical rationale to support positions.
Investor Relations All Titles,Leadership,VICE PRESIDENT,Ensures work is easily digestible and useful to senior leadership and team members.
Investor Relations All Titles,Leadership,VICE PRESIDENT,Coaches team members as they prepare for and contribute to presentations/meetings.
Investor Relations All Titles,Strive to excel,VICE PRESIDENT,Recognized as a senior expert and reliable resource for business area and/or external stakeholders in area of expertise.
Investor Relations All Titles,Strive to excel,VICE PRESIDENT,Leverages networks and expert understanding of specialization and industry trends to share best practices with colleagues and produce quality deliverables that drive future success.
Investor Relations All Titles,Strive to excel,VICE PRESIDENT,Actively works to expand and/or calibrate external networks that can add value to the firm.
Investor Relations All Titles,Strive to excel,VICE PRESIDENT,Assumes key leadership role within business area executing strategic direction prioritizing tasks assigning responsibilities and monitoring risks and workflows that align to department's goals.
Investor Relations All Titles,Strive to excel,VICE PRESIDENT,Independently develops and executes plans that deliver value across multiple workstreams.
Investor Relations All Titles,Strive to excel,VICE PRESIDENT,Shares accountability for mistakes and celebrates team’s successes.
Investor Relations All Titles,Strive to excel,VICE PRESIDENT,Ensures individual team members and/or the group receives credit for successes.
Investor Relations All Titles,Strive to excel,VICE PRESIDENT,Inspires confidence among senior leadership team and internal/external stakeholders by building and maintaining productive trust-based relationships.
Investor Relations All Titles,Strive to excel,VICE PRESIDENT,Acts as a role model for peers and junior team members.
Investor Relations All Titles,Delivery to the firm,VICE PRESIDENT,Identifies and effectively engages key stakeholders in the early stages of change initiatives to facilitate buy-in.
Investor Relations All Titles,Delivery to the firm,VICE PRESIDENT,Incorporates stakeholder feedback before implementing changes to ensure buy-in and adoption.
Investor Relations All Titles,Delivery to the firm,VICE PRESIDENT,Identifies and effectively engages key stakeholders in the early stages of change initiatives to facilitate buy-in.
Investor Relations All Titles,Delivery to the firm,VICE PRESIDENT,Incorporates stakeholder feedback before implementing changes to ensure buy-in and adoption.
Investor Relations All Titles,Delivery to the firm,VICE PRESIDENT,Proactively shares professional industry or geographical knowledge experiences and best practices with other departments and funds.
Investor Relations All Titles,Challenge the status quo,VICE PRESIDENT,Applies team's ideas to improve the effectiveness of the business area.
Investor Relations All Titles,Challenge the status quo,VICE PRESIDENT,Leads the team in adopting agile practices and behaviors.
Investor Relations All Titles,Challenge the status quo,VICE PRESIDENT,Demonstrates flexibility and openness to change views and/or direction based upon team and/or stakeholder feedback.
Investor Relations All Titles,Challenge the status quo,VICE PRESIDENT,Anticipates potential obstacles across processes and initiatives and takes corrective steps to mitigate them.
Investor Relations All Titles,Challenge the status quo,VICE PRESIDENT,Displays good judgement in knowing when to escalate potential issues with recommended solutions to mitigate risks to senior leadership.
Investor Relations All Titles,Leverage diverse perspective,VICE PRESIDENT,Uncovers and addresses exclusionary behaviors on team and takes proactive steps to mitigate unconscious bias.
Investor Relations All Titles,Leverage diverse perspective,VICE PRESIDENT,Invites everyone’s perspectives to support better decision-making.
Investor Relations All Titles,Leverage diverse perspective,VICE PRESIDENT,Ensures that diverse professionals are considered for open roles/key opportunities/initiatives (e.g. key committees/ speaking engagements/ due diligence).
Investor Relations All Titles,Leverage diverse perspective,VICE PRESIDENT,Mentors or coaches at least one individual with a different background/experience.
